codePoint	character	observedCount
U+0640	ـ	8736
U+0622	آ	5992
U+0623	أ	71828
U+0671	ٱ	35171
U+0625	إ	10951
U+0627	ا	424134
U+0649	ى	19626
U+064A	ي	340326
