kind	code	replacement	reason
territory	DGA	DG	overlong
territory	DJI	DJ	overlong
territory	DMA	DM	overlong
territory	DNK	DK	overlong
territory	DOM	DO	overlong
territory	DY	BJ	deprecated
territory	DZA	DZ	overlong
territory	ECU	EC	overlong
territory	EGY	EG	overlong
territory	ERI	ER	overlong
territory	ESH	EH	overlong
territory	ESP	ES	overlong
territory	EST	EE	overlong
territory	ETH	ET	overlong
territory	FIN	FI	overlong
territory	FJI	FJ	overlong
territory	FLK	FK	overlong
territory	FQ	AQ TF	deprecated
territory	FRA	FR	overlong
territory	FRO	FO	overlong
territory	FSM	FM	overlong
territory	FX	FR	deprecated
territory	FXX	FR	overlong
territory	GAB	GA	overlong
territory	GBR	GB	overlong
territory	GEO	GE	overlong
territory	GGY	GG	overlong
territory	GHA	GH	overlong
territory	GIB	GI	overlong
territory	GIN	GN	overlong
territory	GLP	GP	overlong
territory	GMB	GM	overlong
territory	GNB	GW	overlong
territory	GNQ	GQ	overlong
territory	GRC	GR	overlong
territory	GRD	GD	overlong
territory	GRL	GL	overlong
territory	GTM	GT	overlong
territory	GUF	GF	overlong
territory	GUM	GU	overlong
territory	GUY	GY	overlong
territory	HKG	HK	overlong
territory	HMD	HM	overlong
territory	HND	HN	overlong
territory	HRV	HR	overlong
territory	HTI	HT	overlong
territory	HUN	HU	overlong
territory	HV	BF	deprecated
territory	IDN	ID	overlong
territory	IMN	IM	overlong
territory	IND	IN	overlong
territory	IOT	IO	overlong
territory	IRL	IE	overlong
territory	IRN	IR	overlong
territory	IRQ	IQ	overlong
territory	ISL	IS	overlong
territory	ISR	IL	overlong
territory	ITA	IT	overlong
territory	JAM	JM	overlong
territory	JEY	JE	overlong
territory	JOR	JO	overlong
territory	JPN	JP	overlong
territory	JT	UM	deprecated
territory	KAZ	KZ	overlong
territory	KEN	KE	overlong
territory	KGZ	KG	overlong
territory	KHM	KH	overlong
territory	KIR	KI	overlong
territory	KNA	KN	overlong
territory	KOR	KR	overlong
territory	KWT	KW	overlong
territory	LAO	LA	overlong
territory	LBN	LB	overlong
territory	LBR	LR	overlong
territory	LBY	LY	overlong
territory	LCA	LC	overlong
territory	LIE	LI	overlong
territory	LKA	LK	overlong
territory	LSO	LS	overlong
territory	LTU	LT	overlong
territory	LUX	LU	overlong
territory	LVA	LV	overlong
territory	MAC	MO	overlong
territory	MAF	MF	overlong
territory	MAR	MA	overlong
territory	MCO	MC	overlong
territory	MDA	MD	overlong
territory	MDG	MG	overlong
territory	MDV	MV	overlong
territory	MEX	MX	overlong
territory	MHL	MH	overlong
territory	MI	UM	deprecated
territory	MKD	MK	overlong
territory	MLI	ML	overlong
territory	MLT	MT	overlong
territory	MMR	MM	overlong
territory	MNE	ME	overlong
territory	MNG	MN	overlong
territory	MNP	MP	overlong
territory	MOZ	MZ	overlong
territory	MRT	MR	overlong
territory	MSR	MS	overlong
territory	MTQ	MQ	overlong
territory	MUS	MU	overlong
territory	MWI	MW	overlong
territory	MYS	MY	overlong
territory	MYT	YT	overlong
territory	NAM	NA	overlong
territory	NCL	NC	overlong
territory	NER	NE	overlong
territory	NFK	NF	overlong
territory	NGA	NG	overlong
territory	NH	VU	deprecated
territory	NIC	NI	overlong
territory	NIU	NU	overlong
territory	NLD	NL	overlong
territory	NOR	NO	overlong
territory	NPL	NP	overlong
territory	NQ	AQ	deprecated
territory	NRU	NR	overlong
territory	NT	SA IQ	deprecated
territory	NTZ	SA IQ	overlong
territory	NZL	NZ	overlong
territory	OMN	OM	overlong
territory	PAK	PK	overlong
territory	PAN	PA	overlong
territory	PC	FM MH MP PW	deprecated
territory	PCN	PN	overlong
territory	PER	PE	overlong
territory	PHL	PH	overlong
territory	PLW	PW	overlong
territory	PNG	PG	overlong
territory	POL	PL	overlong
territory	PRI	PR	overlong
territory	PRK	KP	overlong
territory	PRT	PT	overlong
territory	PRY	PY	overlong
territory	PSE	PS	overlong
territory	PU	UM	deprecated
territory	PYF	PF	overlong
territory	PZ	PA	deprecated
territory	QAT	QA	overlong
territory	QMM	QM	overlong
territory	QNN	QN	overlong
territory	QPP	QP	overlong
territory	QQQ	QQ	overlong
territory	QRR	QR	overlong
territory	QSS	QS	overlong
territory	QTT	QT	overlong
territory	QU	EU	deprecated
territory	QUU	EU	overlong
territory	QVV	QV	overlong
territory	QWW	QW	overlong
territory	QXX	QX	overlong
territory	QYY	QY	overlong
territory	QZZ	QZ	overlong
territory	REU	RE	overlong
territory	RH	ZW	deprecated
territory	ROU	RO	overlong
territory	RUS	RU	overlong
territory	RWA	RW	overlong
territory	SAU	SA	overlong
territory	SCG	RS ME	overlong
territory	SDN	SD	overlong
territory	SEN	SN	overlong
territory	SGP	SG	overlong
territory	SGS	GS	overlong
territory	SHN	SH	overlong
territory	SJM	SJ	overlong
territory	SLB	SB	overlong
territory	SLE	SL	overlong
territory	SLV	SV	overlong
territory	SMR	SM	overlong
territory	SOM	SO	overlong
territory	SPM	PM	overlong
territory	SRB	RS	overlong
territory	SSD	SS	overlong
territory	STP	ST	overlong
territory	SU	RU AM AZ BY EE GE KZ KG LV LT MD TJ TM UA UZ	deprecated
territory	SUN	RU AM AZ BY EE GE KZ KG LV LT MD TJ TM UA UZ	overlong
territory	SUR	SR	overlong
territory	SVK	SK	overlong
territory	SVN	SI	overlong
territory	SWE	SE	overlong
territory	SWZ	SZ	overlong
territory	SXM	SX	overlong
territory	SYC	SC	overlong
territory	SYR	SY	overlong
territory	TAA	TA	overlong
territory	TCA	TC	overlong
territory	TCD	TD	overlong
territory	TGO	TG	overlong
territory	THA	TH	overlong
territory	TJK	TJ	overlong
territory	TKL	TK	overlong
territory	TKM	TM	overlong
territory	TLS	TL	overlong
territory	TMP	TL	overlong
territory	TON	TO	overlong
territory	TP	TL	deprecated
territory	TTO	TT	overlong
territory	TUN	TN	overlong
territory	TUR	TR	overlong
territory	TUV	TV	overlong
territory	TWN	TW	overlong
territory	TZA	TZ	overlong
territory	UGA	UG	overlong
territory	UK	GB	deprecated
territory	UKR	UA	overlong
territory	UMI	UM	overlong
territory	URY	UY	overlong
territory	USA	US	overlong
territory	UZB	UZ	overlong
territory	VAT	VA	overlong
territory	VCT	VC	overlong
territory	VD	VN	deprecated
territory	VEN	VE	overlong
territory	VGB	VG	overlong
territory	VIR	VI	overlong
territory	VNM	VN	overlong
territory	VUT	VU	overlong
territory	WK	UM	deprecated
territory	WLF	WF	overlong
territory	WSM	WS	overlong
territory	XAA	XA	overlong
territory	XBB	XB	overlong
territory	XCC	XC	overlong
territory	XDD	XD	overlong
territory	XEE	XE	overlong
territory	XFF	XF	overlong
territory	XGG	XG	overlong
territory	XHH	XH	overlong
territory	XII	XI	overlong
territory	XJJ	XJ	overlong
territory	XKK	XK	overlong
territory	XLL	XL	overlong
territory	XMM	XM	overlong
territory	XNN	XN	overlong
territory	XOO	XO	overlong
territory	XPP	XP	overlong
territory	XQQ	XQ	overlong
territory	XRR	XR	overlong
territory	XSS	XS	overlong
territory	XTT	XT	overlong
territory	XUU	XU	overlong
territory	XVV	XV	overlong
territory	XWW	XW	overlong
territory	XXX	XX	overlong
territory	XYY	XY	overlong
territory	XZZ	XZ	overlong
territory	YD	YE	deprecated
territory	YEM	YE	overlong
territory	YMD	YE	overlong
territory	YU	RS ME	deprecated
territory	YUG	RS ME	overlong
territory	ZAF	ZA	overlong
territory	ZAR	CD	overlong
territory	ZMB	ZM	overlong
territory	ZR	CD	deprecated
territory	ZWE	ZW	overlong
territory	ZZZ	ZZ	overlong
variant	heploc	alalc97	deprecated
variant	polytoni	polyton	deprecated
zone	Africa		
zone	America		
zone	Antarctica		
zone	Asia		
zone	Atlantic		
zone	Australia		
zone	CST6CDT	America/Chicago	deprecated
zone	EST	America/Panama	deprecated
zone	EST5EDT	America/New_York	deprecated
zone	Europe		
zone	HST	Pacific/Honolulu	deprecated
zone	MST	America/Phoenix	deprecated
zone	MST7MDT	America/Denver	deprecated
zone	Pacific		
zone	PST8PDT	America/Los_Angeles	deprecated
zone	SystemV		
