scope	sourceId	predicateId	targetId
synset	awn4-00003553-n	hyponym	awn4-03593583-n
synset	awn4-00003553-n	hyponym	awn4-04360881-n
synset	awn4-00003553-n	mero_part	awn4-03898588-n
synset	awn4-00003553-n	mero_part	awn4-04172050-n
synset	awn4-00003662-v	hypernym	awn4-00105087-v
synset	awn4-00003699-s	similar	awn4-00003356-a
synset	awn4-00003826-v	hypernym	awn4-00001740-v
synset	awn4-00003828-s	similar	awn4-00003356-a
synset	awn4-00003938-a	similar	awn4-00004170-s
synset	awn4-00003938-a	similar	awn4-00004295-s
synset	awn4-00003993-n	hypernym	awn4-00003553-n
synset	awn4-00004032-v	hypernym	awn4-00001740-v
synset	awn4-00004170-s	similar	awn4-00003938-a
synset	awn4-00004227-r	exemplifies	awn4-07089193-n
synset	awn4-00004227-v	hypernym	awn4-00001740-v
synset	awn4-00004227-v	hyponym	awn4-00006523-v
synset	awn4-00004227-v	hyponym	awn4-00007012-v
synset	awn4-00004227-v	is_entailed_by	awn4-00001740-v
synset	awn4-00004227-v	is_entailed_by	awn4-00004819-v
synset	awn4-00004227-v	is_entailed_by	awn4-01200739-v
synset	awn4-00004258-n	has_domain_topic	awn4-01651383-a
synset	awn4-00004258-n	has_domain_topic	awn4-05063385-n
synset	awn4-00004258-n	hypernym	awn4-00003553-n
synset	awn4-00004258-n	hyponym	awn4-00004475-n
synset	awn4-00004258-n	hyponym	awn4-00006269-n
synset	awn4-00004258-n	hyponym	awn4-00006400-n
synset	awn4-00004258-n	hyponym	awn4-00006484-n
synset	awn4-00004295-s	similar	awn4-00003938-a
synset	awn4-00004412-a	also	awn4-01445077-a
synset	awn4-00004412-a	similar	awn4-00004614-s
synset	awn4-00004412-a	similar	awn4-00004722-s
synset	awn4-00004412-a	similar	awn4-00004816-s
synset	awn4-00004475-n	has_domain_topic	awn4-00271722-s
synset	awn4-00004475-n	has_domain_topic	awn4-00327929-a
synset	awn4-00004475-n	has_domain_topic	awn4-01670069-a
