profileId	languageTag	region	spelling	sourceFile	wordCount
en_AU	en-AU	AU	Australian	en_AU.txt	110082
en_CA	en-CA	CA	Canadian	en_CA.txt	109544
en_GB_ise	en-GB	GB	British -ise	en_GB-ise.txt	109550
en_GB_ize	en-GB	GB	British -ize	en_GB-ize.txt	109564
en_US	en-US	US	American	en_US.txt	109902
