type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	aho							2009-07-29		Ahom
language	ahp							2009-07-29		Aproumu Aizi
language	ahr							2009-07-29		Ahirani
language	ahs							2009-07-29		Ashe
language	aht							2009-07-29		Ahtena
language	aia							2009-07-29		Arosi
language	aib							2009-07-29		Ainu (China)
language	aic							2009-07-29		Ainbai
language	aid							2009-07-29		Alngith
language	aie							2009-07-29		Amara
language	aif							2009-07-29		Agi
language	aig							2009-07-29		Antigua and Barbuda Creole English
language	aih							2009-07-29		Ai-Cham
language	aii				syr			2009-07-29		Assyrian Neo-Aramaic
language	aij							2009-07-29		Lishanid Noshan
language	aik							2009-07-29		Ake
language	ail							2009-07-29		Aimele
language	aim							2009-07-29		Aimol
language	ain							2005-10-16		Ainu (Japan)
language	aio							2009-07-29		Aiton
language	aip							2009-07-29		Burumakok
language	aiq							2009-07-29		Aimaq
language	air							2009-07-29		Airoran
language	ais						2019-04-16	2009-07-29		Nataoran Amis
language	ait							2009-07-29		Arikem
language	aiw							2009-07-29		Aari
language	aix							2009-07-29		Aighon
language	aiy							2009-07-29		Ali
language	aja							2009-07-29		Aja (South Sudan)
language	ajg							2009-07-29		Aja (Benin)
language	aji							2009-07-29		Ajië
language	ajn							2012-08-12		Andajin
language	ajp		apc		ar		2023-03-17	2009-07-29		South Levantine Arabic
language	ajs							2022-02-25		Algerian Jewish Sign Language
language	ajt		aeb		jrb		2022-02-25	2009-07-29		Judeo-Tunisian Arabic
language	aju				jrb			2009-07-29		Judeo-Moroccan Arabic
language	ajw							2009-07-29		Ajawa
language	ajz							2009-07-29		Amri Karbi
language	ak					macrolanguage		2005-10-16		Akan
language	akb							2009-07-29		Batak Angkola
language	akc							2009-07-29		Mpur
language	akd							2009-07-29		Ukpet-Ehom
language	ake							2009-07-29		Akawaio
language	akf							2009-07-29		Akpa
language	akg							2009-07-29		Anakalangu
language	akh							2009-07-29		Angal Heneng
language	aki							2009-07-29		Aiome
language	akj							2009-07-29		Aka-Jeru
language	akk							2005-10-16		Akkadian
language	akl							2009-07-29		Aklanon
language	akm							2009-07-29		Aka-Bo
language	ako							2009-07-29		Akurio
language	akp							2009-07-29		Siwu
language	akq							2009-07-29		Ak
language	akr							2009-07-29		Araki
language	aks							2009-07-29		Akaselem
language	akt							2009-07-29		Akolet
language	aku							2009-07-29		Akum
language	akv							2009-07-29		Akhvakh
language	akw							2009-07-29		Akwa
language	akx							2009-07-29		Aka-Kede
language	aky							2009-07-29		Aka-Kol
language	akz							2009-07-29		Alabama
language	ala							2009-07-29		Alago
language	alc							2009-07-29		Qawasqar
language	ald							2009-07-29		Alladian
language	ale							2005-10-16		Aleut
