partOfSpeech	rowCount
VER	64929
NOM	48287
ADJ	26806
ADV	1841
ONO	236
ADJ:num	123
AUX	88
PRE	80
PRO:per	53
PRO:ind	44
ADJ:ind	36
CON	35
ADJ:pos	31
PRO:pos	23
PRO:dem	17
PRO:int	17
PRO:rel	17
ART:def	10
unknown	8
ADJ:dem	4
ADJ:int	4
ART:ind	4
LIA	1
