variantKind	script	baseScripts
compound	Hanb	Hani Bopo
compound	Hntl	Hant Latn
compound	Hrkt	Hira Kana
compound	Jpan	Hani Hira Kana
compound	Kore	Hang Hani
subset	Hans	Hani
subset	Hant	Hani
subset	Jamo	Hang
visual	Aran	Arab
visual	Cyrs	Cyrl
visual	Latf	Latn
visual	Latg	Latn
visual	Syre	Syrc
visual	Syrj	Syrc
visual	Syrn	Syrc
