feature	count
V	345137
IND	180079
PL	172579
SG	165023
PST	142470
2	119960
1	112470
3	105172
PRS	105151
SBJV	89991
COND	45044
FUT	45044
IPFV	45002
PFV	44982
IMP	22488
POS	22488
V.PTCP	15063
NFIN	7535
V.CVB	7532
