prefix	observedCount	apostropheCounts	exampleSentenceId
l	85178	':78213 ’:6965	3095
n	58540	':54883 ’:3657	3118
d	49841	':45759 ’:4082	3137
j	49607	':45625 ’:3982	3101
qu	33960	':31335 ’:2625	1593
c	31905	':28990 ’:2915	3094
s	25076	':23321 ’:1755	3137
m	17720	':16638 ’:1082	3129
t	10624	':9662 ’:962	3123
aujourd	4748	':4472 ’:276	3095
quelqu	3007	':2857 ’:150	3198
jusqu	2570	':2394 ’:176	4121
lorsqu	902	':813 ’:89	1115
puisqu	96	':81 ’:15	131100
y	41	':27 ’:14	427853
quoiqu	35	':32 ’:3	545159
