start	end	generalCategory	comment
16AF5	16AF5	Po	BASSA VAH FULL STOP
16B37	16B3B	Po	[5] PAHAWH HMONG SIGN VOS THOM..PAHAWH HMONG SIGN VOS FEEM
16B44	16B44	Po	PAHAWH HMONG SIGN XAUS
16D6D	16D6F	Po	[3] KIRAT RAI SIGN YUPI..KIRAT RAI DOUBLE DANDA
16E97	16E9A	Po	[4] MEDEFAIDRIN COMMA..MEDEFAIDRIN EXCLAMATION OH
16FE2	16FE2	Po	OLD CHINESE HOOK MARK
1BC9F	1BC9F	Po	DUPLOYAN PUNCTUATION CHINOOK FULL STOP
1DA87	1DA8B	Po	[5] SIGNWRITING COMMA..SIGNWRITING PARENTHESIS
1E5FF	1E5FF	Po	OL ONAL ABBREVIATION SIGN
1E95E	1E95F	Po	[2] ADLAM INITIAL EXCLAMATION MARK..ADLAM INITIAL QUESTION MARK
