table	leftCategory	rightCategory
AB	P00001	X00052
AB	P00001	X00053
AB	P00001	X00054
AB	P00001	X00055
AB	P00001	X00056
AB	P00001	X00057
AB	P00001	X00058
AB	P00001	X00059
AB	P00001	X00060
AB	P00001	X00061
AB	P00001	X00062
AB	P00001	X00063
AB	P00001	X00064
AB	P00001	X00065
AB	P00001	X00066
AB	P00001	X00067
AB	P00001	X00068
AB	P00001	X00069
AB	P00001	X00070
AB	P00001	X00071
AB	P00001	X00072
AB	P00001	X00073
AB	P00001	X00074
AB	P00001	X00075
AB	P00001	X00076
AB	P00001	X00077
AB	P00001	X00078
AB	P00001	X00079
AB	P00001	X00080
AB	P00001	X00081
AB	P00001	X00082
AB	P00001	X00083
AB	P00001	X00084
AB	P00001	X00085
AB	P00001	X00086
AB	P00001	X00087
AB	P00001	X00088
AB	P00001	X00089
AB	P00001	X00090
AB	P00001	X00091
AB	P00001	X00092
AB	P00001	X00093
AB	P00001	X00094
AB	P00001	X00095
AB	P00001	X00096
AB	P00001	X00097
AB	P00001	X00098
AB	P00001	X00099
AB	P00001	X00100
AB	P00001	X00101
AB	P00001	X00102
AB	P00001	X00103
AB	P00001	X00104
AB	P00001	X00105
AB	P00001	X00106
AB	P00002	X00375
AB	P00003	X00143
AB	P00003	X00146
AB	P00003	X00164
AB	P00003	X00187
AB	P00003	X00202
AB	P00003	X00203
AB	P00003	X00229
AB	P00003	X00231
AB	P00003	X00232
AB	P00003	X00233
AB	P00004	X00150
AB	P00004	X00204
AB	P00004	X00205
AB	P00004	X00234
AB	P00004	X00236
AB	P00004	X00237
AB	P00004	X00238
AB	P00005	X00109
AB	P00005	X00114
AB	P00005	X00119
AB	P00005	X00120
AB	P00005	X00134
AB	P00005	X00136
AB	P00005	X00152
AB	P00005	X00156
AB	P00005	X00167
AB	P00005	X00178
AB	P00005	X00180
AB	P00005	X00181
AB	P00005	X00190
AB	P00005	X00193
AB	P00005	X00196
AB	P00005	X00207
AB	P00005	X00208
AB	P00005	X00210
AB	P00005	X00212
AB	P00005	X00213
AB	P00005	X00215
AB	P00005	X00216
AB	P00005	X00218
AB	P00005	X00239
AB	P00005	X00241
AB	P00005	X00244
AB	P00005	X00245
AB	P00006	X00118
AB	P00006	X00123
AB	P00006	X00138
AB	P00006	X00160
AB	P00006	X00171
AB	P00006	X00175
AB	P00006	X00201
AB	P00006	X00219
AB	P00006	X00221
AB	P00006	X00223
AB	P00006	X00224
AB	P00006	X00226
AB	P00006	X00228
AB	P00006	X00246
AB	P00006	X00249
AB	P00006	X00250
AB	P00006	X00251
AB	P00007	X00140
AB	P00007	X00144
AB	P00007	X00161
AB	P00007	X00185
AB	P00007	X00202
AB	P00007	X00203
AB	P00007	X00229
AB	P00007	X00231
AB	P00007	X00232
AB	P00007	X00233
AB	P00008	X00147
AB	P00008	X00204
AB	P00008	X00205
AB	P00008	X00234
AB	P00008	X00236
AB	P00008	X00237
AB	P00008	X00238
AB	P00009	X00110
AB	P00009	X00111
AB	P00009	X00121
AB	P00009	X00130
AB	P00009	X00139
AB	P00009	X00153
AB	P00009	X00154
AB	P00009	X00165
AB	P00009	X00178
AB	P00009	X00180
AB	P00009	X00182
AB	P00009	X00188
AB	P00009	X00191
AB	P00009	X00194
AB	P00009	X00207
AB	P00009	X00208
AB	P00009	X00210
AB	P00009	X00212
AB	P00009	X00213
AB	P00009	X00215
AB	P00009	X00216
AB	P00009	X00218
AB	P00009	X00239
AB	P00009	X00241
AB	P00009	X00244
AB	P00009	X00245
AB	P00010	X00115
AB	P00010	X00125
AB	P00010	X00157
AB	P00010	X00158
AB	P00010	X00168
AB	P00010	X00172
AB	P00010	X00197
AB	P00010	X00219
AB	P00010	X00221
AB	P00010	X00223
AB	P00010	X00224
AB	P00010	X00226
AB	P00010	X00228
AB	P00010	X00246
AB	P00010	X00249
AB	P00010	X00250
AB	P00010	X00251
AB	P00011	X00142
AB	P00011	X00163
AB	P00011	X00186
AB	P00011	X00202
AB	P00011	X00203
AB	P00011	X00229
AB	P00011	X00231
AB	P00011	X00232
AB	P00011	X00233
AB	P00012	X00149
AB	P00012	X00204
AB	P00012	X00205
AB	P00012	X00234
AB	P00012	X00236
AB	P00012	X00237
AB	P00012	X00238
AB	P00013	X00108
AB	P00013	X00113
AB	P00013	X00134
AB	P00013	X00136
AB	P00013	X00151
AB	P00013	X00155
AB	P00013	X00166
AB	P00013	X00178
AB	P00013	X00180
AB	P00013	X00195
AB	P00013	X00207
AB	P00013	X00208
AB	P00013	X00210
AB	P00013	X00212
AB	P00013	X00213
AB	P00013	X00214
AB	P00013	X00216
AB	P00013	X00217
AB	P00013	X00239
AB	P00013	X00240
AB	P00013	X00244
AB	P00013	X00245
AB	P00014	X00117
AB	P00014	X00124
AB	P00014	X00138
AB	P00014	X00159
AB	P00014	X00170
AB	P00014	X00174
AB	P00014	X00200
AB	P00014	X00219
AB	P00014	X00221
AB	P00014	X00223
AB	P00014	X00224
AB	P00014	X00225
AB	P00014	X00226
AB	P00014	X00227
AB	P00014	X00246
AB	P00014	X00249
AB	P00014	X00251
AB	P00015	X00140
AB	P00015	X00144
AB	P00015	X00161
AB	P00015	X00185
AB	P00015	X00202
AB	P00015	X00203
AB	P00015	X00229
AB	P00015	X00231
AB	P00015	X00232
AB	P00015	X00233
AB	P00016	X00147
AB	P00016	X00204
AB	P00016	X00205
AB	P00016	X00234
AB	P00016	X00236
AB	P00016	X00237
AB	P00016	X00238
AB	P00017	X00110
AB	P00017	X00111
AB	P00017	X00119
AB	P00017	X00120
AB	P00017	X00134
AB	P00017	X00136
AB	P00017	X00139
AB	P00017	X00153
AB	P00017	X00154
AB	P00017	X00165
AB	P00017	X00178
AB	P00017	X00180
AB	P00017	X00181
AB	P00017	X00188
AB	P00017	X00191
AB	P00017	X00194
AB	P00017	X00207
AB	P00017	X00208
AB	P00017	X00210
AB	P00017	X00212
AB	P00017	X00213
AB	P00017	X00215
AB	P00017	X00216
AB	P00017	X00218
AB	P00017	X00239
AB	P00017	X00241
AB	P00017	X00244
AB	P00017	X00245
AB	P00018	X00115
AB	P00018	X00123
AB	P00018	X00138
AB	P00018	X00157
AB	P00018	X00158
AB	P00018	X00168
AB	P00018	X00172
AB	P00018	X00197
AB	P00018	X00219
AB	P00018	X00221
AB	P00018	X00223
AB	P00018	X00224
AB	P00018	X00226
AB	P00018	X00228
AB	P00018	X00246
AB	P00018	X00249
AB	P00018	X00250
AB	P00018	X00251
AB	P00019	X00143
AB	P00019	X00146
AB	P00019	X00164
AB	P00019	X00187
AB	P00019	X00202
AB	P00019	X00203
AB	P00019	X00229
AB	P00019	X00231
AB	P00019	X00232
AB	P00019	X00233
AB	P00020	X00150
AB	P00020	X00204
AB	P00020	X00205
AB	P00020	X00234
AB	P00020	X00236
AB	P00020	X00237
AB	P00020	X00238
AB	P00021	X00109
AB	P00021	X00114
AB	P00021	X00119
AB	P00021	X00120
AB	P00021	X00134
AB	P00021	X00136
AB	P00021	X00152
AB	P00021	X00156
AB	P00021	X00167
AB	P00021	X00178
AB	P00021	X00180
AB	P00021	X00181
AB	P00021	X00190
AB	P00021	X00193
AB	P00021	X00196
AB	P00021	X00207
AB	P00021	X00208
AB	P00021	X00210
AB	P00021	X00212
AB	P00021	X00213
AB	P00021	X00215
AB	P00021	X00216
AB	P00021	X00218
AB	P00021	X00239
AB	P00021	X00241
AB	P00021	X00244
AB	P00021	X00245
AB	P00022	X00118
AB	P00022	X00123
AB	P00022	X00138
AB	P00022	X00160
AB	P00022	X00171
AB	P00022	X00175
AB	P00022	X00201
AB	P00022	X00219
AB	P00022	X00221
AB	P00022	X00223
AB	P00022	X00224
AB	P00022	X00226
AB	P00022	X00228
AB	P00022	X00246
AB	P00022	X00249
AB	P00022	X00250
AB	P00022	X00251
AB	P00023	X00140
AB	P00023	X00144
AB	P00023	X00161
AB	P00023	X00185
AB	P00023	X00202
AB	P00023	X00203
AB	P00023	X00229
AB	P00023	X00231
AB	P00023	X00232
AB	P00023	X00233
AB	P00024	X00147
AB	P00024	X00204
AB	P00024	X00205
AB	P00024	X00234
AB	P00024	X00236
AB	P00024	X00237
AB	P00024	X00238
AB	P00025	X00110
AB	P00025	X00111
AB	P00025	X00121
AB	P00025	X00130
AB	P00025	X00139
AB	P00025	X00153
AB	P00025	X00154
AB	P00025	X00165
AB	P00025	X00178
AB	P00025	X00180
AB	P00025	X00182
AB	P00025	X00188
AB	P00025	X00191
AB	P00025	X00194
AB	P00025	X00207
AB	P00025	X00208
AB	P00025	X00210
AB	P00025	X00212
AB	P00025	X00213
AB	P00025	X00215
AB	P00025	X00216
AB	P00025	X00218
AB	P00025	X00239
AB	P00025	X00241
AB	P00025	X00244
AB	P00025	X00245
AB	P00026	X00115
AB	P00026	X00125
AB	P00026	X00157
AB	P00026	X00158
AB	P00026	X00168
AB	P00026	X00172
AB	P00026	X00197
AB	P00026	X00219
AB	P00026	X00221
AB	P00026	X00223
AB	P00026	X00224
AB	P00026	X00226
AB	P00026	X00228
AB	P00026	X00246
AB	P00026	X00249
AB	P00026	X00250
AB	P00026	X00251
AB	P00027	X00142
AB	P00027	X00163
AB	P00027	X00186
AB	P00027	X00202
AB	P00027	X00203
AB	P00027	X00229
AB	P00027	X00231
AB	P00027	X00232
AB	P00027	X00233
AB	P00028	X00149
AB	P00028	X00204
AB	P00028	X00205
AB	P00028	X00234
AB	P00028	X00236
AB	P00028	X00237
AB	P00028	X00238
AB	P00029	X00108
AB	P00029	X00113
AB	P00029	X00134
AB	P00029	X00136
AB	P00029	X00151
AB	P00029	X00155
AB	P00029	X00166
AB	P00029	X00178
AB	P00029	X00180
AB	P00029	X00195
AB	P00029	X00207
AB	P00029	X00208
AB	P00029	X00210
AB	P00029	X00212
AB	P00029	X00213
AB	P00029	X00214
AB	P00029	X00216
AB	P00029	X00217
AB	P00029	X00239
AB	P00029	X00240
AB	P00029	X00244
AB	P00029	X00245
AB	P00030	X00117
AB	P00030	X00124
AB	P00030	X00138
AB	P00030	X00159
AB	P00030	X00170
AB	P00030	X00174
AB	P00030	X00200
AB	P00030	X00219
AB	P00030	X00221
AB	P00030	X00223
AB	P00030	X00224
AB	P00030	X00225
AB	P00030	X00226
AB	P00030	X00227
AB	P00030	X00246
AB	P00030	X00249
AB	P00030	X00251
AB	P00031	X00140
AB	P00031	X00144
AB	P00031	X00161
AB	P00031	X00185
AB	P00031	X00202
AB	P00031	X00203
AB	P00031	X00229
AB	P00031	X00231
AB	P00031	X00232
AB	P00031	X00233
AB	P00032	X00147
AB	P00032	X00204
AB	P00032	X00205
AB	P00032	X00234
AB	P00032	X00236
AB	P00032	X00237
AB	P00032	X00238
AB	P00033	X00110
AB	P00033	X00111
AB	P00033	X00119
AB	P00033	X00120
AB	P00033	X00134
AB	P00033	X00136
AB	P00033	X00139
AB	P00033	X00153
AB	P00033	X00154
AB	P00033	X00165
AB	P00033	X00178
AB	P00033	X00180
AB	P00033	X00181
AB	P00033	X00188
AB	P00033	X00191
AB	P00033	X00194
AB	P00033	X00207
AB	P00033	X00208
AB	P00033	X00210
AB	P00033	X00212
AB	P00033	X00213
AB	P00033	X00215
AB	P00033	X00216
AB	P00033	X00218
AB	P00033	X00239
AB	P00033	X00241
AB	P00033	X00244
AB	P00033	X00245
AB	P00034	X00115
AB	P00034	X00123
AB	P00034	X00138
AB	P00034	X00157
AB	P00034	X00158
AB	P00034	X00168
AB	P00034	X00172
AB	P00034	X00197
AB	P00034	X00219
AB	P00034	X00221
AB	P00034	X00223
AB	P00034	X00224
AB	P00034	X00226
AB	P00034	X00228
AB	P00034	X00246
AB	P00034	X00249
AB	P00034	X00250
AB	P00034	X00251
AB	P00035	X00143
AB	P00035	X00146
AB	P00035	X00164
AB	P00035	X00187
AB	P00035	X00202
AB	P00035	X00203
AB	P00035	X00229
AB	P00035	X00231
AB	P00035	X00232
AB	P00035	X00233
AB	P00036	X00150
AB	P00036	X00204
AB	P00036	X00205
AB	P00036	X00234
AB	P00036	X00236
AB	P00036	X00237
AB	P00036	X00238
AB	P00037	X00109
AB	P00037	X00114
AB	P00037	X00119
AB	P00037	X00120
AB	P00037	X00129
AB	P00037	X00135
AB	P00037	X00152
AB	P00037	X00156
AB	P00037	X00167
AB	P00037	X00178
AB	P00037	X00180
AB	P00037	X00181
AB	P00037	X00190
AB	P00037	X00193
AB	P00037	X00196
AB	P00037	X00207
AB	P00037	X00208
AB	P00037	X00210
AB	P00037	X00212
AB	P00037	X00213
AB	P00037	X00215
AB	P00037	X00216
AB	P00037	X00218
AB	P00037	X00239
AB	P00037	X00241
AB	P00037	X00244
AB	P00037	X00245
AB	P00038	X00118
AB	P00038	X00123
AB	P00038	X00137
AB	P00038	X00160
AB	P00038	X00171
AB	P00038	X00175
AB	P00038	X00201
AB	P00038	X00219
AB	P00038	X00221
AB	P00038	X00223
AB	P00038	X00224
AB	P00038	X00226
AB	P00038	X00228
AB	P00038	X00246
AB	P00038	X00249
AB	P00038	X00250
AB	P00038	X00251
AB	P00039	X00143
AB	P00039	X00146
AB	P00039	X00164
AB	P00039	X00187
AB	P00039	X00202
AB	P00039	X00203
AB	P00039	X00229
AB	P00039	X00231
AB	P00039	X00232
AB	P00039	X00233
AB	P00040	X00150
AB	P00040	X00204
AB	P00040	X00205
AB	P00040	X00234
AB	P00040	X00236
AB	P00040	X00237
AB	P00040	X00238
AB	P00041	X00109
AB	P00041	X00114
AB	P00041	X00119
AB	P00041	X00120
AB	P00041	X00129
AB	P00041	X00135
AB	P00041	X00152
AB	P00041	X00156
AB	P00041	X00167
AB	P00041	X00178
AB	P00041	X00180
AB	P00041	X00181
AB	P00041	X00190
AB	P00041	X00193
AB	P00041	X00196
AB	P00041	X00207
AB	P00041	X00208
AB	P00041	X00210
AB	P00041	X00212
AB	P00041	X00213
AB	P00041	X00215
AB	P00041	X00216
AB	P00041	X00218
AB	P00041	X00239
AB	P00041	X00241
AB	P00041	X00244
AB	P00041	X00245
AB	P00042	X00118
AB	P00042	X00123
AB	P00042	X00137
AB	P00042	X00160
AB	P00042	X00171
AB	P00042	X00175
AB	P00042	X00201
AB	P00042	X00219
AB	P00042	X00221
AB	P00042	X00223
AB	P00042	X00224
AB	P00042	X00226
AB	P00042	X00228
AB	P00042	X00246
AB	P00042	X00249
AB	P00042	X00250
AB	P00042	X00251
AB	P00043	X00143
AB	P00043	X00146
AB	P00043	X00164
AB	P00043	X00187
AB	P00043	X00202
AB	P00043	X00203
AB	P00043	X00229
AB	P00043	X00231
AB	P00043	X00232
AB	P00043	X00233
AB	P00044	X00150
AB	P00044	X00204
AB	P00044	X00205
AB	P00044	X00234
AB	P00044	X00236
AB	P00044	X00237
AB	P00044	X00238
AB	P00045	X00109
AB	P00045	X00114
AB	P00045	X00119
AB	P00045	X00120
AB	P00045	X00129
AB	P00045	X00135
AB	P00045	X00152
AB	P00045	X00156
AB	P00045	X00167
AB	P00045	X00178
AB	P00045	X00180
AB	P00045	X00181
AB	P00045	X00190
AB	P00045	X00193
AB	P00045	X00196
AB	P00045	X00207
AB	P00045	X00208
AB	P00045	X00210
AB	P00045	X00212
AB	P00045	X00213
AB	P00045	X00215
AB	P00045	X00216
AB	P00045	X00218
AB	P00045	X00239
AB	P00045	X00241
AB	P00045	X00244
AB	P00045	X00245
AB	P00046	X00118
AB	P00046	X00123
AB	P00046	X00137
AB	P00046	X00160
AB	P00046	X00171
AB	P00046	X00175
AB	P00046	X00201
AB	P00046	X00219
AB	P00046	X00221
AB	P00046	X00223
AB	P00046	X00224
AB	P00046	X00226
AB	P00046	X00228
AB	P00046	X00246
AB	P00046	X00249
AB	P00046	X00250
AB	P00046	X00251
AB	P00047	X00143
AB	P00047	X00146
AB	P00047	X00164
AB	P00047	X00187
AB	P00047	X00202
AB	P00047	X00203
AB	P00047	X00229
AB	P00047	X00231
AB	P00047	X00232
AB	P00047	X00233
AB	P00048	X00150
AB	P00048	X00204
AB	P00048	X00205
AB	P00048	X00234
AB	P00048	X00236
AB	P00048	X00237
AB	P00048	X00238
AB	P00049	X00109
AB	P00049	X00114
AB	P00049	X00119
AB	P00049	X00120
AB	P00049	X00129
AB	P00049	X00135
AB	P00049	X00152
AB	P00049	X00156
AB	P00049	X00167
AB	P00049	X00178
AB	P00049	X00180
AB	P00049	X00181
AB	P00049	X00190
AB	P00049	X00193
AB	P00049	X00196
AB	P00049	X00207
AB	P00049	X00208
AB	P00049	X00210
AB	P00049	X00212
AB	P00049	X00213
AB	P00049	X00215
AB	P00049	X00216
AB	P00049	X00218
AB	P00049	X00239
AB	P00049	X00241
AB	P00049	X00244
AB	P00049	X00245
AB	P00050	X00118
AB	P00050	X00123
AB	P00050	X00137
AB	P00050	X00160
AB	P00050	X00171
AB	P00050	X00175
AB	P00050	X00201
AB	P00050	X00219
AB	P00050	X00221
AB	P00050	X00223
AB	P00050	X00224
AB	P00050	X00226
AB	P00050	X00228
AB	P00050	X00246
AB	P00050	X00249
AB	P00050	X00250
AB	P00050	X00251
AB	P00051	X00143
AB	P00051	X00146
AB	P00051	X00164
AB	P00051	X00187
AB	P00051	X00202
AB	P00051	X00203
AB	P00051	X00229
AB	P00051	X00230
AB	P00051	X00232
AB	P00051	X00233
AB	P00052	X00150
AB	P00052	X00204
AB	P00052	X00205
AB	P00052	X00234
AB	P00052	X00235
AB	P00052	X00237
AB	P00052	X00238
AB	P00053	X00109
AB	P00053	X00114
AB	P00053	X00134
AB	P00053	X00136
AB	P00053	X00151
AB	P00053	X00155
AB	P00053	X00167
AB	P00053	X00178
AB	P00053	X00180
AB	P00053	X00190
AB	P00053	X00193
AB	P00053	X00196
AB	P00053	X00206
AB	P00053	X00208
AB	P00053	X00209
AB	P00053	X00211
AB	P00053	X00213
AB	P00053	X00214
AB	P00053	X00216
AB	P00053	X00217
AB	P00053	X00239
AB	P00053	X00240
AB	P00053	X00242
AB	P00053	X00243
AB	P00053	X00244
AB	P00053	X00245
AB	P00054	X00118
AB	P00054	X00124
AB	P00054	X00138
AB	P00054	X00159
AB	P00054	X00171
AB	P00054	X00175
AB	P00054	X00201
AB	P00054	X00219
AB	P00054	X00220
AB	P00054	X00222
AB	P00054	X00224
AB	P00054	X00225
AB	P00054	X00226
AB	P00054	X00227
AB	P00054	X00246
AB	P00054	X00247
AB	P00054	X00248
AB	P00054	X00249
AB	P00054	X00251
AB	P00055	X00143
AB	P00055	X00146
AB	P00055	X00164
AB	P00055	X00187
AB	P00055	X00202
AB	P00055	X00203
AB	P00055	X00229
AB	P00055	X00230
AB	P00055	X00232
AB	P00055	X00233
AB	P00056	X00150
AB	P00056	X00204
AB	P00056	X00205
AB	P00056	X00234
AB	P00056	X00235
AB	P00056	X00237
AB	P00056	X00238
AB	P00057	X00109
AB	P00057	X00114
AB	P00057	X00134
AB	P00057	X00136
AB	P00057	X00151
AB	P00057	X00155
AB	P00057	X00167
AB	P00057	X00178
AB	P00057	X00180
AB	P00057	X00190
AB	P00057	X00193
AB	P00057	X00196
AB	P00057	X00206
AB	P00057	X00208
AB	P00057	X00209
AB	P00057	X00211
AB	P00057	X00213
AB	P00057	X00214
AB	P00057	X00216
AB	P00057	X00217
AB	P00057	X00239
AB	P00057	X00240
AB	P00057	X00242
AB	P00057	X00243
AB	P00057	X00244
AB	P00057	X00245
AB	P00058	X00118
AB	P00058	X00124
AB	P00058	X00138
AB	P00058	X00159
AB	P00058	X00171
AB	P00058	X00175
AB	P00058	X00201
AB	P00058	X00219
AB	P00058	X00220
AB	P00058	X00222
AB	P00058	X00224
AB	P00058	X00225
AB	P00058	X00226
AB	P00058	X00227
AB	P00058	X00246
AB	P00058	X00247
AB	P00058	X00248
AB	P00058	X00249
AB	P00058	X00251
AB	P00059	X00143
AB	P00059	X00146
AB	P00059	X00164
AB	P00059	X00187
AB	P00059	X00202
AB	P00059	X00203
AB	P00059	X00229
AB	P00059	X00230
AB	P00059	X00232
AB	P00059	X00233
AB	P00060	X00150
AB	P00060	X00204
AB	P00060	X00205
AB	P00060	X00234
AB	P00060	X00235
AB	P00060	X00237
AB	P00060	X00238
AB	P00061	X00109
AB	P00061	X00114
AB	P00061	X00134
AB	P00061	X00136
AB	P00061	X00151
AB	P00061	X00155
AB	P00061	X00167
AB	P00061	X00178
AB	P00061	X00180
AB	P00061	X00190
AB	P00061	X00193
AB	P00061	X00196
AB	P00061	X00206
AB	P00061	X00208
AB	P00061	X00209
AB	P00061	X00211
AB	P00061	X00213
AB	P00061	X00214
AB	P00061	X00216
AB	P00061	X00217
AB	P00061	X00239
AB	P00061	X00240
AB	P00061	X00242
AB	P00061	X00243
AB	P00061	X00244
AB	P00061	X00245
AB	P00062	X00118
AB	P00062	X00124
AB	P00062	X00138
AB	P00062	X00159
AB	P00062	X00171
AB	P00062	X00175
AB	P00062	X00201
AB	P00062	X00219
AB	P00062	X00220
AB	P00062	X00222
AB	P00062	X00224
AB	P00062	X00225
AB	P00062	X00226
AB	P00062	X00227
AB	P00062	X00246
AB	P00062	X00247
AB	P00062	X00248
AB	P00062	X00249
AB	P00062	X00251
AB	P00063	X00143
AB	P00063	X00146
AB	P00063	X00164
AB	P00063	X00187
AB	P00063	X00202
AB	P00063	X00203
AB	P00063	X00229
AB	P00063	X00230
AB	P00063	X00232
AB	P00063	X00233
AB	P00064	X00150
AB	P00064	X00204
AB	P00064	X00205
AB	P00064	X00234
AB	P00064	X00235
AB	P00064	X00237
AB	P00064	X00238
AB	P00065	X00109
AB	P00065	X00114
AB	P00065	X00134
AB	P00065	X00136
AB	P00065	X00151
AB	P00065	X00155
AB	P00065	X00167
AB	P00065	X00178
AB	P00065	X00180
AB	P00065	X00190
AB	P00065	X00193
AB	P00065	X00196
AB	P00065	X00206
AB	P00065	X00208
AB	P00065	X00209
AB	P00065	X00211
AB	P00065	X00213
AB	P00065	X00214
AB	P00065	X00216
AB	P00065	X00217
AB	P00065	X00239
AB	P00065	X00240
AB	P00065	X00242
AB	P00065	X00243
AB	P00065	X00244
AB	P00065	X00245
AB	P00066	X00118
AB	P00066	X00124
AB	P00066	X00138
AB	P00066	X00159
AB	P00066	X00171
AB	P00066	X00175
AB	P00066	X00201
AB	P00066	X00219
AB	P00066	X00220
AB	P00066	X00222
AB	P00066	X00224
AB	P00066	X00225
AB	P00066	X00226
AB	P00066	X00227
AB	P00066	X00246
AB	P00066	X00247
AB	P00066	X00248
AB	P00066	X00249
AB	P00066	X00251
AB	P00067	X00141
AB	P00067	X00145
AB	P00067	X00164
AB	P00067	X00187
AB	P00067	X00202
AB	P00067	X00203
AB	P00067	X00229
AB	P00067	X00231
AB	P00067	X00232
AB	P00067	X00233
AB	P00068	X00148
AB	P00068	X00204
AB	P00068	X00205
AB	P00068	X00234
AB	P00068	X00236
AB	P00068	X00237
AB	P00068	X00238
AB	P00069	X00107
AB	P00069	X00112
AB	P00069	X00133
AB	P00069	X00152
AB	P00069	X00156
AB	P00069	X00167
AB	P00069	X00178
AB	P00069	X00180
AB	P00069	X00184
AB	P00069	X00190
AB	P00069	X00193
AB	P00069	X00196
AB	P00069	X00207
AB	P00069	X00208
AB	P00069	X00210
AB	P00069	X00212
AB	P00069	X00213
AB	P00069	X00215
AB	P00069	X00216
AB	P00069	X00218
AB	P00069	X00239
AB	P00069	X00241
AB	P00069	X00244
AB	P00069	X00245
AB	P00070	X00116
AB	P00070	X00128
AB	P00070	X00160
AB	P00070	X00171
AB	P00070	X00175
AB	P00070	X00201
AB	P00070	X00219
AB	P00070	X00221
AB	P00070	X00223
AB	P00070	X00224
AB	P00070	X00226
AB	P00070	X00228
AB	P00070	X00246
AB	P00070	X00249
AB	P00070	X00250
AB	P00070	X00251
AB	P00071	X00141
AB	P00071	X00145
AB	P00071	X00162
AB	P00071	X00202
AB	P00071	X00203
AB	P00071	X00229
AB	P00071	X00231
AB	P00071	X00232
AB	P00071	X00233
AB	P00072	X00148
AB	P00072	X00204
AB	P00072	X00205
AB	P00072	X00234
AB	P00072	X00236
AB	P00072	X00237
AB	P00072	X00238
AB	P00073	X00107
AB	P00073	X00112
AB	P00073	X00133
AB	P00073	X00152
AB	P00073	X00156
AB	P00073	X00177
AB	P00073	X00179
AB	P00073	X00184
AB	P00073	X00189
AB	P00073	X00192
AB	P00073	X00207
AB	P00073	X00208
AB	P00073	X00210
AB	P00073	X00212
AB	P00073	X00213
AB	P00073	X00215
AB	P00073	X00216
AB	P00073	X00218
AB	P00073	X00239
AB	P00073	X00241
AB	P00073	X00244
AB	P00073	X00245
AB	P00074	X00116
AB	P00074	X00128
AB	P00074	X00160
AB	P00074	X00169
AB	P00074	X00173
AB	P00074	X00176
AB	P00074	X00199
AB	P00074	X00219
AB	P00074	X00221
AB	P00074	X00223
AB	P00074	X00224
AB	P00074	X00226
AB	P00074	X00228
AB	P00074	X00246
AB	P00074	X00249
AB	P00074	X00250
AB	P00074	X00251
AB	P00075	X00141
AB	P00075	X00145
AB	P00075	X00162
AB	P00075	X00202
AB	P00075	X00203
AB	P00075	X00229
AB	P00075	X00231
AB	P00075	X00232
AB	P00075	X00233
AB	P00076	X00148
AB	P00076	X00204
AB	P00076	X00205
AB	P00076	X00234
AB	P00076	X00236
AB	P00076	X00237
AB	P00076	X00238
AB	P00077	X00107
AB	P00077	X00112
AB	P00077	X00133
AB	P00077	X00152
AB	P00077	X00156
AB	P00077	X00177
AB	P00077	X00179
AB	P00077	X00184
AB	P00077	X00189
AB	P00077	X00192
AB	P00077	X00207
AB	P00077	X00208
AB	P00077	X00210
AB	P00077	X00212
AB	P00077	X00213
AB	P00077	X00215
AB	P00077	X00216
AB	P00077	X00218
AB	P00077	X00239
AB	P00077	X00241
AB	P00077	X00244
AB	P00077	X00245
AB	P00078	X00116
AB	P00078	X00128
AB	P00078	X00160
AB	P00078	X00169
AB	P00078	X00173
AB	P00078	X00176
AB	P00078	X00199
AB	P00078	X00219
AB	P00078	X00221
AB	P00078	X00223
AB	P00078	X00224
AB	P00078	X00226
AB	P00078	X00228
AB	P00078	X00246
AB	P00078	X00249
AB	P00078	X00250
AB	P00078	X00251
AB	P00079	X00141
AB	P00079	X00145
AB	P00079	X00162
AB	P00079	X00202
AB	P00079	X00203
AB	P00079	X00229
AB	P00079	X00231
AB	P00079	X00232
AB	P00079	X00233
AB	P00080	X00148
AB	P00080	X00204
AB	P00080	X00205
AB	P00080	X00234
AB	P00080	X00236
AB	P00080	X00237
AB	P00080	X00238
AB	P00081	X00107
AB	P00081	X00112
AB	P00081	X00133
AB	P00081	X00152
AB	P00081	X00156
AB	P00081	X00177
AB	P00081	X00179
AB	P00081	X00184
AB	P00081	X00189
AB	P00081	X00192
AB	P00081	X00207
AB	P00081	X00208
AB	P00081	X00210
AB	P00081	X00212
AB	P00081	X00213
AB	P00081	X00215
AB	P00081	X00216
AB	P00081	X00218
AB	P00081	X00239
AB	P00081	X00241
AB	P00081	X00244
AB	P00081	X00245
AB	P00082	X00116
AB	P00082	X00128
AB	P00082	X00160
AB	P00082	X00169
AB	P00082	X00173
AB	P00082	X00176
AB	P00082	X00199
AB	P00082	X00219
AB	P00082	X00221
AB	P00082	X00223
AB	P00082	X00224
AB	P00082	X00226
AB	P00082	X00228
AB	P00082	X00246
AB	P00082	X00249
AB	P00082	X00250
AB	P00082	X00251
AB	P00083	X00141
AB	P00083	X00145
AB	P00083	X00164
AB	P00083	X00187
AB	P00083	X00202
AB	P00083	X00203
AB	P00083	X00229
AB	P00083	X00231
AB	P00083	X00232
AB	P00083	X00233
AB	P00084	X00148
AB	P00084	X00204
AB	P00084	X00205
AB	P00084	X00234
AB	P00084	X00236
AB	P00084	X00237
AB	P00084	X00238
AB	P00085	X00107
AB	P00085	X00112
AB	P00085	X00131
AB	P00085	X00152
AB	P00085	X00156
AB	P00085	X00167
