feature	value	count
Number	Sing	436306
Gender	Masc	336029
Case	Gen	211657
Definite	Def	182827
Gender	Fem	141672
Definite	Ind	127032
Definite	Com	107427
AdpType	Prep	91694
Person	3	86521
Case	Acc	76333
Voice	Act	56597
Mood	Ind	54271
Case	Nom	46424
Number	Plur	36157
PronType	Prs	30458
Aspect	Perf	28918
Aspect	Imp	25627
NumForm	Digit	11538
Person	1	6172
Number	Dual	5238
Polarity	Neg	4578
Mood	Sub	4079
Voice	Pass	3736
NumForm	Word	3330
Mood	Jus	1566
Person	2	906
PronType	Rel	294
PronType	Dem	1
