upos	xpos	count
NOUN	_	75330
ADP	_	63543
DET	_	61098
PUNCT	_	44005
VERB	_	31769
PROPN	_	27693
ADJ	_	23820
PRON	_	17687
ADV	_	14501
AUX	_	13081
CCONJ	_	10634
NUM	_	10479
SCONJ	_	2983
X	_	2957
SYM	_	718
INTJ	_	87
